,f__bootstrap,f__class_weight,f__criterion,f__max_depth,f__max_features,f__min_samples_leaf,f__min_samples_split,f__n_estimators,prec,f1,recall
0,False,balanced,gini,,auto,2,2,50,0.0,0.0,0.0
1,False,,entropy,,sqrt,1,2,200,0.0,0.0,0.0
2,True,balanced_subsample,gini,10.0,sqrt,1,10,50,0.0,0.0,0.0
3,True,balanced_subsample,gini,50.0,sqrt,1,10,100,0.0,0.0,0.0
4,True,balanced_subsample,gini,10.0,sqrt,1,10,100,0.0,0.0,0.0
5,False,balanced_subsample,gini,50.0,auto,4,2,50,0.05,0.02,0.0125
6,False,,entropy,50.0,auto,4,10,50,0.0,0.0,0.0
7,False,balanced_subsample,gini,10.0,auto,4,10,200,0.15,0.043529411764705886,0.02583333333333333
8,True,,entropy,50.0,auto,4,2,50,0.0,0.0,0.0
9,True,balanced_subsample,entropy,50.0,sqrt,2,10,200,0.0,0.0,0.0
10,True,,gini,10.0,sqrt,1,2,200,0.0,0.0,0.0
11,True,balanced_subsample,entropy,,sqrt,1,10,100,0.0,0.0,0.0
12,False,,entropy,10.0,auto,2,10,100,0.0,0.0,0.0
13,True,balanced_subsample,gini,10.0,auto,2,10,50,0.0,0.0,0.0
14,True,,entropy,10.0,auto,2,10,100,0.0,0.0,0.0
15,False,,gini,,auto,4,2,100,0.0,0.0,0.0
16,True,,entropy,,sqrt,2,2,10,0.0,0.0,0.0
17,True,,gini,10.0,auto,1,10,100,0.0,0.0,0.0
18,True,balanced_subsample,gini,,sqrt,4,2,10,0.2,0.023529411764705882,0.0125
19,False,balanced,gini,,auto,4,10,50,0.24,0.044047619047619044,0.02583333333333333
20,False,,entropy,10.0,auto,2,10,50,0.0,0.0,0.0
21,True,balanced,entropy,50.0,auto,1,10,100,0.0,0.0,0.0
22,True,,entropy,,sqrt,2,2,50,0.0,0.0,0.0
23,False,balanced_subsample,gini,,auto,1,10,10,0.4,0.04852941176470588,0.02583333333333333
24,True,balanced_subsample,gini,,auto,1,10,200,0.0,0.0,0.0
25,True,balanced,gini,,sqrt,4,2,100,0.0,0.0,0.0
26,True,balanced_subsample,entropy,,auto,4,10,200,0.0,0.0,0.0
27,False,balanced,entropy,50.0,sqrt,1,10,10,0.25,0.045,0.02583333333333333
28,False,balanced,entropy,,sqrt,2,2,200,0.0,0.0,0.0
29,False,,entropy,,auto,4,2,10,0.0,0.0,0.0
30,False,balanced,entropy,50.0,sqrt,4,10,50,0.2,0.025,0.013333333333333332
31,True,balanced_subsample,entropy,,sqrt,4,2,100,0.0,0.0,0.0
32,False,balanced,entropy,,sqrt,2,10,10,0.26666666666666666,0.046052631578947366,0.02583333333333333
33,True,,entropy,50.0,sqrt,2,2,200,0.0,0.0,0.0
34,False,balanced_subsample,gini,50.0,sqrt,1,2,10,0.0,0.0,0.0
35,True,balanced,gini,10.0,sqrt,2,10,10,0.2,0.023529411764705882,0.0125
36,True,balanced,gini,10.0,auto,4,10,200,0.0,0.0,0.0
37,False,,gini,50.0,sqrt,4,10,10,0.0,0.0,0.0
38,True,balanced,gini,,sqrt,4,10,10,0.2,0.023529411764705882,0.0125
39,True,,entropy,,sqrt,4,10,50,0.0,0.0,0.0
40,True,balanced_subsample,entropy,,sqrt,1,10,200,0.0,0.0,0.0
41,True,balanced_subsample,gini,,auto,4,2,10,0.2,0.023529411764705882,0.0125
42,False,balanced,entropy,10.0,auto,2,10,100,0.3,0.04722222222222222,0.02583333333333333
43,False,,gini,50.0,sqrt,4,2,100,0.0,0.0,0.0
44,False,,entropy,50.0,sqrt,2,2,200,0.0,0.0,0.0
45,False,balanced,gini,,sqrt,4,2,100,0.2,0.025,0.013333333333333332
46,True,balanced_subsample,gini,10.0,sqrt,2,10,100,0.0,0.0,0.0
47,True,,entropy,,sqrt,4,10,10,0.0,0.0,0.0
48,False,balanced_subsample,gini,50.0,sqrt,2,2,10,0.0,0.0,0.0
49,False,balanced_subsample,entropy,50.0,auto,4,10,100,0.2,0.025,0.013333333333333332
50,False,balanced_subsample,entropy,50.0,auto,2,10,100,0.0,0.0,0.0
51,True,balanced,entropy,,sqrt,4,2,200,0.0,0.0,0.0
52,True,,gini,,auto,1,10,10,0.0,0.0,0.0
53,False,balanced_subsample,entropy,50.0,sqrt,1,2,200,0.0,0.0,0.0
54,True,,entropy,10.0,auto,2,2,100,0.0,0.0,0.0
