,f__activation,f__alpha,f__hidden_layer_sizes,f__learning_rate,f__max_iter,f__solver,prec,f1,recall
0,logistic,0.01,"(20, 40, 10)",constant,200,sgd,0.0,0.0,0.0
1,relu,0.001,"(20, 40, 10)",constant,200,adam,0.32532467532467535,0.15026969241803004,0.10333333333333332
2,tanh,0.05,"(50, 50, 50)",adaptive,400,sgd,0.0,0.0,0.0
3,relu,0.01,"(100,)",constant,400,lbfgs,0.10705128205128205,0.06754804415973831,0.05083333333333333
4,relu,0.05,"(20, 40, 10)",adaptive,200,adam,0.3048484848484848,0.16010774410774412,0.11499999999999999
5,tanh,0.01,"(50, 50, 50)",constant,400,lbfgs,0.07222222222222222,0.058857142857142865,0.05
6,tanh,0.01,"(100,)",adaptive,400,adam,0.18,0.06031746031746031,0.0375
7,tanh,0.001,"(50, 100, 50)",adaptive,200,sgd,0.0,0.0,0.0
8,logistic,0.0001,"(50, 100, 50)",adaptive,400,lbfgs,0.0,0.0,0.0
9,relu,0.01,"(100,)",adaptive,200,adam,0.45,0.10705882352941176,0.06333333333333332
10,logistic,0.01,"(50, 5)",constant,200,adam,0.0,0.0,0.0
11,tanh,0.001,"(50, 50, 50)",constant,200,lbfgs,0.09761904761904762,0.06484848484848485,0.05
12,tanh,0.001,"(50, 50, 50)",constant,400,adam,0.26666666666666666,0.11841269841269839,0.07666666666666666
13,tanh,0.05,"(50, 5)",constant,200,adam,0.26666666666666666,0.10094567970728963,0.06416666666666666
14,relu,0.01,"(50, 50, 50)",adaptive,400,sgd,0.0,0.0,0.0
15,logistic,0.01,"(50, 50, 50)",constant,400,sgd,0.0,0.0,0.0
16,tanh,0.05,"(100,)",adaptive,200,lbfgs,0.18333333333333332,0.061269841269841266,0.03833333333333333
17,logistic,0.01,"(20, 40, 10)",adaptive,400,sgd,0.0,0.0,0.0
18,tanh,0.001,"(100,)",adaptive,400,adam,0.3,0.0457516339869281,0.025
19,relu,0.05,"(50, 50, 50)",constant,200,adam,0.23857142857142857,0.11532467532467532,0.07666666666666666
20,relu,0.0001,"(100,)",adaptive,200,lbfgs,0.1581818181818182,0.10136026936026936,0.07666666666666666
21,tanh,0.001,"(20, 40, 10)",adaptive,200,adam,0.06,0.04615384615384615,0.0375
22,relu,0.0001,"(50, 100, 50)",constant,400,sgd,0.0,0.0,0.0
23,tanh,0.001,"(50, 100, 50)",adaptive,200,adam,0.24666666666666667,0.11636363636363636,0.07666666666666666
24,relu,0.0001,"(100,)",constant,200,lbfgs,0.1581818181818182,0.10136026936026936,0.07666666666666666
25,tanh,0.0001,"(50, 100, 50)",adaptive,400,sgd,0.0,0.0,0.0
26,relu,0.001,"(20, 40, 10)",adaptive,400,adam,0.32532467532467535,0.15026969241803004,0.10333333333333332
27,logistic,0.001,"(50, 5)",adaptive,400,adam,0.0,0.0,0.0
28,relu,0.0001,"(50, 5)",constant,400,lbfgs,0.1540903540903541,0.11935098149931911,0.10333333333333332
29,relu,0.0001,"(50, 100, 50)",constant,400,adam,0.31166666666666665,0.11911620483433646,0.07666666666666666
30,tanh,0.01,"(50, 5)",adaptive,200,sgd,0.0,0.0,0.0
31,logistic,0.05,"(50, 50, 50)",adaptive,400,sgd,0.0,0.0,0.0
32,relu,0.05,"(50, 100, 50)",constant,400,lbfgs,0.2013919413919414,0.1636946503706672,0.14166666666666666
