,f__activation,f__alpha,f__hidden_layer_sizes,f__learning_rate,f__max_iter,f__solver,prec,f1,recall
33,tanh,0.05,"(50, 50, 50)",adaptive,200,lbfgs,0.1319047619047619,0.06928385624037799,0.05083333333333333
34,tanh,0.01,"(50, 100, 50)",adaptive,200,adam,0.24666666666666667,0.11636363636363636,0.07666666666666666
35,logistic,0.001,"(50, 50, 50)",adaptive,200,lbfgs,0.0,0.0,0.0
36,tanh,0.01,"(50, 5)",constant,400,sgd,0.0,0.0,0.0
37,tanh,0.05,"(100,)",constant,400,lbfgs,0.18333333333333332,0.061269841269841266,0.03833333333333333
38,logistic,0.05,"(50, 100, 50)",adaptive,400,lbfgs,0.0,0.0,0.0
39,relu,0.0001,"(50, 5)",adaptive,400,lbfgs,0.1540903540903541,0.11935098149931911,0.10333333333333332
40,logistic,0.01,"(50, 50, 50)",constant,200,sgd,0.0,0.0,0.0
41,logistic,0.0001,"(50, 100, 50)",constant,200,sgd,0.0,0.0,0.0
42,relu,0.01,"(50, 50, 50)",adaptive,200,sgd,0.0,0.0,0.0
43,tanh,0.0001,"(50, 5)",adaptive,400,sgd,0.0,0.0,0.0
44,logistic,0.05,"(50, 100, 50)",adaptive,200,sgd,0.0,0.0,0.0
45,tanh,0.001,"(50, 5)",constant,400,sgd,0.0,0.0,0.0
46,logistic,0.05,"(20, 40, 10)",constant,200,lbfgs,0.0,0.0,0.0
47,tanh,0.001,"(50, 5)",adaptive,400,adam,0.06666666666666667,0.021052631578947368,0.0125
48,relu,0.05,"(50, 50, 50)",adaptive,400,lbfgs,0.14472027972027973,0.10722369584438549,0.08916666666666666
49,relu,0.001,"(50, 5)",adaptive,400,lbfgs,0.0870414673046252,0.07029100529100528,0.06333333333333332
50,relu,0.0001,"(20, 40, 10)",adaptive,200,lbfgs,0.12600288600288598,0.12397110423116615,0.12666666666666665
51,relu,0.05,"(50, 100, 50)",constant,400,adam,0.28857142857142853,0.14895104895104896,0.10333333333333332
52,tanh,0.001,"(100,)",adaptive,400,lbfgs,0.17238095238095236,0.10565376652333172,0.07666666666666666
53,logistic,0.0001,"(50, 100, 50)",constant,400,sgd,0.0,0.0,0.0
54,logistic,0.05,"(100,)",adaptive,200,lbfgs,0.1938961038961039,0.10708897848485947,0.07583333333333334
55,relu,0.05,"(50, 5)",adaptive,400,lbfgs,0.12811188811188812,0.09266978232495474,0.07583333333333334
56,tanh,0.0001,"(100,)",adaptive,400,lbfgs,0.17238095238095236,0.10565376652333172,0.07666666666666666
57,tanh,0.001,"(100,)",constant,400,sgd,0.0,0.0,0.0
58,relu,0.001,"(50, 50, 50)",adaptive,200,adam,0.33333333333333337,0.11847890671420083,0.07583333333333334
59,relu,0.001,"(50, 100, 50)",constant,200,sgd,0.0,0.0,0.0
60,relu,0.05,"(50, 100, 50)",adaptive,400,lbfgs,0.2013919413919414,0.1636946503706672,0.14166666666666666
61,relu,0.05,"(50, 100, 50)",constant,200,lbfgs,0.2013919413919414,0.1636946503706672,0.14166666666666666
62,logistic,0.05,"(50, 5)",adaptive,400,sgd,0.0,0.0,0.0
63,relu,0.01,"(20, 40, 10)",constant,200,lbfgs,0.12568253968253967,0.11838801211541528,0.11583333333333332
64,relu,0.0001,"(20, 40, 10)",constant,400,lbfgs,0.12600288600288598,0.12397110423116615,0.12666666666666665
65,relu,0.0001,"(100,)",adaptive,400,sgd,0.0,0.0,0.0
66,tanh,0.001,"(50, 100, 50)",adaptive,400,lbfgs,0.2623809523809523,0.16931468531468535,0.12833333333333333
67,logistic,0.0001,"(20, 40, 10)",constant,200,adam,0.0,0.0,0.0
68,tanh,0.05,"(20, 40, 10)",constant,400,lbfgs,0.2202334267040149,0.18619047619047618,0.16666666666666666
69,logistic,0.0001,"(50, 50, 50)",adaptive,200,adam,0.0,0.0,0.0
70,logistic,0.01,"(50, 100, 50)",constant,200,adam,0.02222222222222222,0.016,0.0125
71,relu,0.0001,"(100,)",adaptive,200,sgd,0.0,0.0,0.0
72,tanh,0.001,"(50, 50, 50)",adaptive,400,sgd,0.0,0.0,0.0
73,logistic,0.01,"(50, 5)",constant,200,lbfgs,0.21357142857142858,0.13677169512409787,0.10333333333333332
74,relu,0.05,"(20, 40, 10)",constant,200,sgd,0.0,0.0,0.0
75,logistic,0.001,"(100,)",adaptive,400,lbfgs,0.12631016042780746,0.10141972722617884,0.08833333333333333
76,tanh,0.001,"(100,)",constant,200,sgd,0.0,0.0,0.0
77,logistic,0.0001,"(20, 40, 10)",constant,200,sgd,0.0,0.0,0.0
78,logistic,0.05,"(50, 50, 50)",constant,400,sgd,0.0,0.0,0.0
79,tanh,0.0001,"(20, 40, 10)",constant,200,sgd,0.0,0.0,0.0
80,logistic,0.01,"(50, 100, 50)",constant,200,lbfgs,0.0,0.0,0.0
81,logistic,0.001,"(50, 50, 50)",constant,200,adam,0.0,0.0,0.0
82,logistic,0.05,"(50, 50, 50)",constant,200,sgd,0.0,0.0,0.0
83,logistic,0.05,"(100,)",adaptive,400,adam,0.06428571428571428,0.03333333333333334,0.025
84,tanh,0.05,"(50, 5)",adaptive,400,adam,0.26666666666666666,0.10094567970728963,0.06416666666666666
85,tanh,0.05,"(50, 50, 50)",constant,200,adam,0.11301587301587301,0.07866666666666666,0.06333333333333332
86,relu,0.01,"(50, 50, 50)",constant,200,lbfgs,0.12506787330316743,0.11155702917771884,0.1025
87,logistic,0.0001,"(100,)",adaptive,400,lbfgs,0.20177489177489177,0.1467875831203505,0.12666666666666665
88,logistic,0.001,"(20, 40, 10)",constant,400,adam,0.0,0.0,0.0
89,logistic,0.05,"(20, 40, 10)",adaptive,200,adam,0.0,0.0,0.0
90,logistic,0.0001,"(50, 100, 50)",adaptive,400,adam,0.0,0.0,0.0
91,tanh,0.001,"(20, 40, 10)",constant,200,adam,0.06,0.04615384615384615,0.0375
92,tanh,0.0001,"(20, 40, 10)",adaptive,200,adam,0.05,0.03333333333333333,0.025
93,relu,0.05,"(20, 40, 10)",constant,400,lbfgs,0.11272727272727272,0.09743589743589744,0.08833333333333333
94,relu,0.01,"(50, 50, 50)",constant,400,sgd,0.0,0.0,0.0
95,relu,0.01,"(50, 100, 50)",constant,400,adam,0.3466666666666666,0.12349206349206347,0.07666666666666666
96,tanh,0.05,"(50, 100, 50)",adaptive,400,sgd,0.0,0.0,0.0
97,tanh,0.01,"(50, 5)",constant,400,lbfgs,0.09595959595959595,0.06586243386243386,0.05083333333333333
98,logistic,0.05,"(50, 100, 50)",constant,400,adam,0.09999999999999999,0.06618181818181819,0.05
99,logistic,0.05,"(100,)",constant,200,lbfgs,0.1938961038961039,0.10708897848485947,0.07583333333333334
