,f__C,f__class_weight,f__decision_function_shape,f__degree,f__gamma,f__kernel,prec,f1,recall
70,4.0,,ovo,2,scale,sigmoid,0.21632036425835363,0.19861460340072448,0.18687128712871287
71,0.1,,ovr,3,auto,linear,0.9714975845410627,0.2561184414529321,0.1491089108910891
72,2.0,balanced,ovo,3,auto,poly,0.017272338606241982,0.033114754098360656,0.4
73,0.5,,ovr,3,scale,linear,0.9797979797979799,0.25666918889589035,0.1491089108910891
74,1.0,balanced,ovo,5,scale,sigmoid,0.07422212359120084,0.13340751738998496,0.660118811881188
75,4.0,balanced,ovo,2,scale,sigmoid,0.07217670072559507,0.1298913053800221,0.6501386138613862
76,1.0,balanced,ovo,5,scale,rbf,0.18405249353259828,0.2958164803496876,0.7554257425742575
77,1.0,balanced,ovr,2,scale,poly,0.17915455219845672,0.29170056030551195,0.7873069306930692
78,0.1,,ovo,3,scale,rbf,1.0,0.25772150446104486,0.1491089108910891
79,4.0,balanced,ovr,3,scale,poly,0.22023935653311968,0.32981759947736633,0.657960396039604
80,4.0,,ovr,3,auto,linear,0.990909090909091,0.2571617283714807,0.1491089108910891
81,1.0,balanced,ovr,5,scale,rbf,0.18405249353259828,0.2958164803496876,0.7554257425742575
82,1.0,balanced,ovr,5,scale,poly,0.21965066870823965,0.3260430292520029,0.6341386138613861
83,4.0,,ovo,2,auto,sigmoid,0.0,0.0,0.0
84,2.0,,ovo,2,scale,linear,0.990909090909091,0.2571617283714807,0.1491089108910891
85,0.1,,ovo,2,scale,poly,1.0,0.25772150446104486,0.1491089108910891
86,0.5,,ovr,3,auto,sigmoid,0.0,0.0,0.0
87,2.0,,ovo,2,scale,rbf,1.0,0.25772150446104486,0.1491089108910891
88,0.1,balanced,ovr,5,auto,rbf,0.44208727471071435,0.17229870323191665,0.6040990099009901
89,4.0,balanced,ovr,3,scale,linear,0.1555514277641065,0.2606748841620279,0.805207920792079
90,4.0,balanced,ovr,3,auto,sigmoid,0.11978855278392575,0.20791984654662138,0.8012871287128712
91,4.0,,ovo,3,auto,poly,0.0,0.0,0.0
92,0.1,balanced,ovr,3,scale,rbf,0.1587516785546062,0.2642690044071,0.7973069306930693
93,4.0,balanced,ovo,5,auto,linear,0.1555514277641065,0.2606748841620279,0.805207920792079
94,0.5,,ovr,5,scale,linear,0.9797979797979799,0.25666918889589035,0.1491089108910891
95,4.0,balanced,ovr,5,auto,linear,0.1555514277641065,0.2606748841620279,0.805207920792079
96,1.0,,ovr,3,scale,linear,0.990909090909091,0.2571617283714807,0.1491089108910891
97,4.0,balanced,ovr,2,auto,rbf,0.13409077735386743,0.2295869075244156,0.8112475247524751
98,0.1,balanced,ovr,5,scale,sigmoid,0.10901631016492486,0.1910204172042771,0.7753069306930694
99,4.0,,ovr,3,auto,rbf,0.9888888888888889,0.25722896498545456,0.1491089108910891
