,f__bootstrap,f__class_weight,f__criterion,f__max_depth,f__max_features,f__min_samples_leaf,f__min_samples_split,f__n_estimators,prec,f1,recall
0,False,,gini,,sqrt,2,10,10,0.7819023729893295,0.2882262569829447,0.17697029702970296
1,False,,gini,50.0,auto,4,10,200,0.9382440953850295,0.27346494171899405,0.16106930693069307
2,True,balanced,gini,50.0,sqrt,2,10,100,0.8798893974065599,0.2756860935873211,0.1650891089108911
3,True,,entropy,50.0,sqrt,2,10,200,0.9397979797979797,0.2554490909802465,0.1491089108910891
4,True,balanced_subsample,entropy,10.0,auto,4,10,10,0.6755898394888578,0.29619601401506335,0.1907920792079208
5,False,balanced,entropy,10.0,sqrt,4,2,100,0.6515879102618883,0.33262093993144665,0.22875247524752473
6,True,balanced,gini,,auto,4,10,100,0.8660846233230133,0.27492836786732094,0.16504950495049506
7,True,balanced_subsample,gini,,sqrt,1,10,50,0.9463888888888888,0.2640631546801039,0.1550891089108911
8,True,balanced,entropy,10.0,sqrt,2,10,10,0.6911274509803922,0.2829326689450408,0.18293069306930693
9,False,,entropy,,auto,2,2,50,0.8994316271963332,0.276828216528858,0.16504950495049506
10,False,balanced_subsample,gini,,sqrt,4,10,200,0.7624040507675939,0.30375447141270684,0.19495049504950496
11,True,balanced_subsample,entropy,,auto,4,2,50,0.8581196581196581,0.26498756455581435,0.15906930693069307
12,True,balanced_subsample,gini,10.0,auto,4,2,100,0.8559971509971509,0.2790847655275221,0.16904950495049506
13,True,,gini,10.0,auto,1,10,100,0.8732227307398933,0.2576164808366772,0.1530891089108911
14,False,balanced,entropy,50.0,auto,2,2,10,0.784461375212224,0.31005640823822644,0.19485148514851486
15,True,balanced_subsample,gini,,auto,2,10,50,0.9091269841269842,0.2681247496507897,0.1590891089108911
16,True,,entropy,10.0,sqrt,2,10,200,0.9397979797979797,0.2554490909802465,0.1491089108910891
17,False,balanced,gini,,auto,2,2,200,0.8491781376518219,0.28352933616091514,0.17304950495049504
18,False,balanced,entropy,10.0,auto,2,10,100,0.6976998491704374,0.32524950305048356,0.2228712871287129
19,False,balanced_subsample,entropy,50.0,sqrt,2,10,100,0.7925641025641026,0.29916152471353574,0.18895049504950495
20,True,,entropy,,auto,4,10,100,0.9664646464646465,0.2593545066934425,0.1511089108910891
21,True,,gini,,auto,1,2,10,0.8708421052631579,0.26993711939052906,0.161029702970297
22,True,balanced_subsample,gini,,sqrt,4,2,50,0.8601067887109076,0.2664287109489786,0.1590891089108911
23,True,balanced,gini,50.0,sqrt,2,10,100,0.8798893974065599,0.2756860935873211,0.1650891089108911
24,False,balanced_subsample,entropy,10.0,auto,1,10,100,0.717736369910283,0.3248862812766641,0.22089108910891092
25,True,,entropy,,sqrt,1,2,200,0.9364473684210527,0.26357889317889316,0.1550891089108911
26,True,,entropy,,sqrt,4,2,10,0.891563025210084,0.2760126579464022,0.16504950495049506
27,True,,entropy,50.0,auto,4,10,100,0.9664646464646465,0.2593545066934425,0.1511089108910891
