,f__bootstrap,f__class_weight,f__criterion,f__max_depth,f__max_features,f__min_samples_leaf,f__min_samples_split,f__n_estimators,prec,f1,recall
82,True,balanced,entropy,50.0,sqrt,4,10,200,0.0,0.0,0.0
83,True,,gini,10.0,sqrt,1,10,100,0.0,0.0,0.0
84,True,balanced_subsample,entropy,,auto,2,10,200,0.0,0.0,0.0
85,True,balanced,gini,10.0,auto,1,10,200,0.0,0.0,0.0
86,True,balanced_subsample,entropy,,auto,1,10,50,0.0,0.0,0.0
87,True,balanced,gini,50.0,sqrt,2,10,100,0.0,0.0,0.0
88,False,,gini,,sqrt,1,2,100,0.0,0.0,0.0
89,True,,gini,,auto,1,10,200,0.0,0.0,0.0
90,True,balanced_subsample,entropy,10.0,auto,2,2,200,0.0,0.0,0.0
91,True,balanced,gini,,auto,4,10,10,0.0,0.0,0.0
92,True,,entropy,10.0,auto,2,2,10,0.0,0.0,0.0
93,False,balanced_subsample,gini,50.0,sqrt,4,10,10,0.1,0.02222222222222222,0.0125
94,True,,gini,10.0,sqrt,2,2,10,0.0,0.0,0.0
95,True,balanced_subsample,entropy,10.0,auto,1,2,50,0.0,0.0,0.0
96,True,balanced_subsample,entropy,,auto,2,10,100,0.0,0.0,0.0
97,False,balanced_subsample,entropy,10.0,sqrt,1,10,50,0.2,0.023529411764705882,0.0125
98,True,balanced_subsample,entropy,,sqrt,4,10,200,0.0,0.0,0.0
99,True,balanced,entropy,,sqrt,4,2,100,0.0,0.0,0.0
