,f__bootstrap,f__class_weight,f__criterion,f__max_depth,f__max_features,f__min_samples_leaf,f__min_samples_split,f__n_estimators,prec,f1,recall
70,False,,gini,50.0,auto,1,2,100,0.9376932367149757,0.3054808046303648,0.18293069306930693
71,True,balanced_subsample,gini,50.0,auto,2,10,50,0.8878298845404109,0.3041094322344322,0.1848910891089109
72,True,balanced,entropy,50.0,auto,4,2,10,0.7079638893680639,0.29990249021185655,0.19287128712871288
73,True,balanced,gini,10.0,sqrt,1,2,100,0.5151662302659025,0.37682836510359136,0.30027722772277227
74,False,,gini,50.0,sqrt,4,10,100,1.0,0.2790388013971452,0.16302970297029704
75,True,balanced,entropy,,auto,1,10,10,0.7579838056680162,0.29084085643140767,0.1809108910891089
76,True,balanced,entropy,50.0,sqrt,4,2,10,0.7079638893680639,0.29990249021185655,0.19287128712871288
77,False,balanced_subsample,entropy,10.0,sqrt,2,2,10,0.3709571889542439,0.41105299846928334,0.4693069306930694
78,True,,gini,10.0,sqrt,1,10,50,0.9833333333333332,0.26372862942485364,0.1530891089108911
79,False,,gini,,sqrt,4,2,10,0.8398386779460948,0.291071232879685,0.17697029702970296
80,True,,entropy,,auto,2,2,200,1.0,0.2699607088644641,0.15704950495049505
81,True,balanced_subsample,gini,,auto,1,10,10,0.8139932259625354,0.3202791159567903,0.20277227722772279
82,True,,entropy,10.0,sqrt,2,2,50,1.0,0.26082661236354443,0.1511089108910891
83,True,balanced_subsample,entropy,10.0,auto,1,2,200,0.5348252805395664,0.3920547409579668,0.3121980198019802
84,False,,entropy,10.0,auto,1,10,100,1.0,0.27301181489039855,0.15904950495049505
85,True,balanced,gini,,sqrt,2,10,50,0.8149213943950786,0.30536476302553484,0.1888910891089109
86,True,balanced_subsample,entropy,10.0,sqrt,2,2,10,0.4018490140322252,0.3584218772254665,0.32625742574257427
87,True,balanced_subsample,entropy,50.0,auto,2,2,200,0.9913043478260869,0.2874043710335841,0.16897029702970295
88,False,balanced,entropy,50.0,auto,2,2,10,0.8548498650472334,0.32571913655105506,0.2027920792079208
89,False,balanced,entropy,,auto,2,2,200,0.9432307692307692,0.31554173276557845,0.19091089108910891
90,True,,gini,10.0,auto,4,10,100,0.9866666666666667,0.26039945751991367,0.1511089108910891
91,True,balanced_subsample,gini,,auto,1,2,50,0.9582352941176471,0.28308931809627563,0.16700990099009902
92,True,,gini,10.0,sqrt,2,2,50,1.0,0.26082661236354443,0.1511089108910891
93,True,,gini,,auto,4,2,200,1.0,0.26082661236354443,0.1511089108910891
94,True,,gini,,sqrt,4,2,10,0.9441773231031544,0.2740492749635627,0.16100990099009901
95,True,balanced_subsample,gini,,auto,4,2,100,0.8364608130642285,0.32662437988784576,0.2047920792079208
96,True,balanced,gini,,sqrt,1,2,50,0.9676932367149759,0.28073878861553364,0.164990099009901
97,True,balanced,gini,50.0,auto,4,10,200,0.8516586330490667,0.33769346921389276,0.21275247524752477
98,True,,entropy,10.0,auto,4,10,100,1.0,0.26082661236354443,0.1511089108910891
99,True,,gini,,sqrt,4,2,200,1.0,0.26082661236354443,0.1511089108910891
