,f__activation,f__alpha,f__hidden_layer_sizes,f__learning_rate,f__max_iter,f__solver,prec,f1,recall
58,relu,0.01,"(100,)",constant,400,adam,0.5349867469016406,0.3727180291863691,0.29231683168316835
59,relu,0.05,"(50, 50, 50)",adaptive,400,adam,0.5027951103813173,0.3789139887132806,0.31435643564356436
60,tanh,0.0001,"(50, 50, 50)",constant,200,lbfgs,0.4111383629757124,0.3624052852316512,0.32619801980198027
61,logistic,0.0001,"(50, 100, 50)",adaptive,400,adam,0.4404956008687824,0.37822684841381704,0.3340594059405941
62,relu,0.01,"(50, 100, 50)",constant,200,adam,0.49808150567310416,0.39325018083949936,0.32809900990099006
63,logistic,0.0001,"(50, 50, 50)",constant,400,lbfgs,0.36621356960586615,0.3426912059727386,0.3240792079207921
64,tanh,0.05,"(50, 100, 50)",adaptive,200,sgd,0.6382971477641884,0.3418132777353691,0.23463366336633662
65,relu,0.05,"(50, 100, 50)",adaptive,400,lbfgs,0.39979120750046265,0.3707272911648514,0.3458613861386139
66,tanh,0.05,"(50, 5)",constant,200,sgd,0.7931168831168831,0.2964054652575395,0.18493069306930693
67,tanh,0.01,"(50, 50, 50)",constant,400,sgd,0.4863047701091179,0.37393855729163517,0.3062178217821782
68,logistic,0.0001,"(20, 40, 10)",adaptive,400,sgd,0.0,0.0,0.0
69,tanh,0.05,"(100,)",adaptive,200,lbfgs,0.4606641467957703,0.37620608155561686,0.3180990099009901
70,logistic,0.001,"(100,)",constant,400,sgd,0.38571428571428573,0.10373369320737742,0.06000000000000001
71,tanh,0.01,"(20, 40, 10)",constant,200,lbfgs,0.41623914887218866,0.3776164562609575,0.3481386138613861
72,tanh,0.001,"(50, 50, 50)",adaptive,400,adam,0.46314693397217666,0.3588302340341794,0.3001386138613861
73,logistic,0.001,"(100,)",constant,400,lbfgs,0.4076100079524737,0.35039036737386303,0.3081980198019802
74,logistic,0.01,"(50, 100, 50)",adaptive,200,sgd,0.0,0.0,0.0
75,relu,0.0001,"(100,)",constant,400,lbfgs,0.35849660176536663,0.33990363218480824,0.32411881188118813
76,tanh,0.05,"(100,)",constant,200,lbfgs,0.4606641467957703,0.37620608155561686,0.3180990099009901
77,logistic,0.001,"(50, 5)",adaptive,200,adam,0.5185865222043741,0.3957503523865583,0.323980198019802
78,tanh,0.001,"(50, 100, 50)",adaptive,400,sgd,0.48605982551782584,0.3727249998301504,0.3062376237623763
79,tanh,0.0001,"(50, 5)",adaptive,200,lbfgs,0.389439464591563,0.32972560398832435,0.28829702970297033
80,tanh,0.01,"(100,)",adaptive,400,adam,0.5853639417693169,0.3959099778071212,0.30025742574257425
81,logistic,0.0001,"(50, 100, 50)",adaptive,200,sgd,0.0,0.0,0.0
82,relu,0.05,"(20, 40, 10)",constant,200,adam,0.41837180580708927,0.3625858983817342,0.32213861386138615
83,tanh,0.05,"(100,)",adaptive,200,adam,0.5790502867813793,0.3953137203354523,0.3002376237623762
84,relu,0.05,"(20, 40, 10)",constant,400,sgd,0.49833530338849485,0.3540617581737241,0.27637623762376234
85,tanh,0.001,"(50, 5)",constant,400,lbfgs,0.39727933578449043,0.3306303142791487,0.28849504950495053
86,tanh,0.0001,"(100,)",adaptive,200,lbfgs,0.4634215537441344,0.38630911152453795,0.3321386138613861
87,tanh,0.01,"(100,)",constant,200,adam,0.6079484518249438,0.3815779807501952,0.2783762376237624
88,relu,0.01,"(100,)",adaptive,400,adam,0.5349867469016406,0.3727180291863691,0.29231683168316835
89,tanh,0.001,"(50, 50, 50)",constant,200,adam,0.46314693397217666,0.3588302340341794,0.3001386138613861
90,relu,0.001,"(50, 100, 50)",adaptive,400,sgd,0.5177597014051033,0.38576074522189213,0.3121980198019802
91,logistic,0.01,"(50, 100, 50)",adaptive,400,sgd,0.0,0.0,0.0
92,tanh,0.001,"(50, 5)",adaptive,200,adam,0.5020887260887261,0.3835044627737455,0.3181782178217822
93,logistic,0.0001,"(50, 100, 50)",adaptive,400,lbfgs,0.38129706533776303,0.3568511798658857,0.33592079207920794
94,logistic,0.001,"(50, 100, 50)",adaptive,400,sgd,0.0,0.0,0.0
95,logistic,0.0001,"(50, 5)",constant,200,adam,0.4857718101570561,0.3723196504853509,0.30605940594059405
96,tanh,0.0001,"(20, 40, 10)",adaptive,200,adam,0.4404274249354341,0.3461352709062887,0.29041584158415845
97,logistic,0.01,"(20, 40, 10)",adaptive,200,sgd,0.0,0.0,0.0
98,logistic,0.001,"(100,)",adaptive,200,lbfgs,0.4076100079524737,0.35039036737386303,0.3081980198019802
99,tanh,0.01,"(50, 5)",adaptive,200,sgd,0.8001594896331738,0.2934506261504824,0.18293069306930693
