,classifier,preprocessor,prior,f1,precision,recall,dataset_description
47,LogisticRegression(random_state=12),"SimpleImputer(fill_value=0, strategy='constant')",0.05,0.12002236040635132,0.08220530695733536,0.2265151515151515,Imputation
48,LogisticRegression(random_state=12),"SimpleImputer(fill_value=-1, strategy='constant')",0.05,0.12760568193062885,0.08806699720315281,0.24166666666666664,Imputation
49,LogisticRegression(random_state=12),,0.05,,,,Imputation
50,MLPClassifier(random_state=12),SimpleImputer(),0.1,0.07567222223394411,0.04122463137644047,0.4787878787878788,Imputation
51,MLPClassifier(random_state=12),SimpleImputer(strategy='median'),0.1,0.07608429713554202,0.04210739644250028,0.4333333333333333,Imputation
52,MLPClassifier(random_state=12),"SimpleImputer(fill_value=0, strategy='constant')",0.1,0.07424131702017558,0.040994352176311824,0.4053030303030303,Imputation
53,MLPClassifier(random_state=12),"SimpleImputer(fill_value=-1, strategy='constant')",0.1,0.07487342449849652,0.04045577608524607,0.5409090909090909,Imputation
54,MLPClassifier(random_state=12),,0.1,,,,Imputation
55,DecisionTreeClassifier(random_state=12),SimpleImputer(),0.1,0.05549329514599734,0.029997867331596827,0.3795454545454545,Imputation
56,DecisionTreeClassifier(random_state=12),SimpleImputer(strategy='median'),0.1,0.06452853289092056,0.0351240469687605,0.4045454545454545,Imputation
57,DecisionTreeClassifier(random_state=12),"SimpleImputer(fill_value=0, strategy='constant')",0.1,0.07159765337669897,0.03886886748619672,0.4606060606060606,Imputation
58,DecisionTreeClassifier(random_state=12),"SimpleImputer(fill_value=-1, strategy='constant')",0.1,0.060394466171630745,0.032960319746049696,0.3628787878787879,Imputation
59,DecisionTreeClassifier(random_state=12),,0.1,,,,Imputation
60,SVC(random_state=12),SimpleImputer(),0.1,0.0,0.0,0.0,Imputation
61,SVC(random_state=12),SimpleImputer(strategy='median'),0.1,0.0,0.0,0.0,Imputation
62,SVC(random_state=12),"SimpleImputer(fill_value=0, strategy='constant')",0.1,0.0,0.0,0.0,Imputation
63,SVC(random_state=12),"SimpleImputer(fill_value=-1, strategy='constant')",0.1,0.0,0.0,0.0,Imputation
64,SVC(random_state=12),,0.1,,,,Imputation
65,RandomForestClassifier(random_state=12),SimpleImputer(),0.1,0.2341025641025641,0.5216666666666666,0.15378787878787878,Imputation
66,RandomForestClassifier(random_state=12),SimpleImputer(strategy='median'),0.1,0.2797705802968961,0.5669047619047618,0.1893939393939394,Imputation
67,RandomForestClassifier(random_state=12),"SimpleImputer(fill_value=0, strategy='constant')",0.1,0.2837100103199175,0.4225,0.21666666666666665,Imputation
68,RandomForestClassifier(random_state=12),"SimpleImputer(fill_value=-1, strategy='constant')",0.1,0.2984126984126984,0.47023809523809523,0.2265151515151515,Imputation
69,RandomForestClassifier(random_state=12),,0.1,,,,Imputation
70,LogisticRegression(random_state=12),SimpleImputer(),0.1,0.09635095340257908,0.0591308792315547,0.27045454545454545,Imputation
71,LogisticRegression(random_state=12),SimpleImputer(strategy='median'),0.1,0.14032374490150273,0.09295686816119156,0.33333333333333337,Imputation
72,LogisticRegression(random_state=12),"SimpleImputer(fill_value=0, strategy='constant')",0.1,0.141425492307474,0.08519303762922101,0.4318181818181818,Imputation
73,LogisticRegression(random_state=12),"SimpleImputer(fill_value=-1, strategy='constant')",0.1,0.12460516060516061,0.07395701962733463,0.4045454545454545,Imputation
74,LogisticRegression(random_state=12),,0.1,,,,Imputation
75,MLPClassifier(random_state=12),SimpleImputer(),0.25,0.04087158716700036,0.0213072295452991,0.5053030303030304,Imputation
76,MLPClassifier(random_state=12),SimpleImputer(strategy='median'),0.25,0.05302330958734619,0.027773787419631647,0.5946969696969696,Imputation
77,MLPClassifier(random_state=12),"SimpleImputer(fill_value=0, strategy='constant')",0.25,0.051391519254080864,0.02684176371546664,0.6121212121212121,Imputation
78,MLPClassifier(random_state=12),"SimpleImputer(fill_value=-1, strategy='constant')",0.25,0.05013873486781948,0.026296116834909,0.5590909090909091,Imputation
79,MLPClassifier(random_state=12),,0.25,,,,Imputation
80,DecisionTreeClassifier(random_state=12),SimpleImputer(),0.25,0.04120253278098534,0.021492172823593583,0.5053030303030304,Imputation
81,DecisionTreeClassifier(random_state=12),SimpleImputer(strategy='median'),0.25,0.04684340046282344,0.02443772105536715,0.5696969696969697,Imputation
82,DecisionTreeClassifier(random_state=12),"SimpleImputer(fill_value=0, strategy='constant')",0.25,0.04643110499677652,0.0242188904597002,0.5681818181818181,Imputation
83,DecisionTreeClassifier(random_state=12),"SimpleImputer(fill_value=-1, strategy='constant')",0.25,0.05223442501421962,0.02723485292108426,0.6416666666666668,Imputation
84,DecisionTreeClassifier(random_state=12),,0.25,,,,Imputation
85,SVC(random_state=12),SimpleImputer(),0.25,0.009999999999999998,0.01111111111111111,0.00909090909090909,Imputation
86,SVC(random_state=12),SimpleImputer(strategy='median'),0.25,0.0,0.0,0.0,Imputation
87,SVC(random_state=12),"SimpleImputer(fill_value=0, strategy='constant')",0.25,0.0,0.0,0.0,Imputation
88,SVC(random_state=12),"SimpleImputer(fill_value=-1, strategy='constant')",0.25,0.0,0.0,0.0,Imputation
89,SVC(random_state=12),,0.25,,,,Imputation
90,RandomForestClassifier(random_state=12),SimpleImputer(),0.25,0.19435595422357693,0.12867336764636633,0.4340909090909091,Imputation
91,RandomForestClassifier(random_state=12),SimpleImputer(strategy='median'),0.25,0.18098077204777746,0.11381206666090386,0.4787878787878788,Imputation
92,RandomForestClassifier(random_state=12),"SimpleImputer(fill_value=0, strategy='constant')",0.25,0.19708860502618447,0.1234080298786181,0.5242424242424242,Imputation
93,RandomForestClassifier(random_state=12),"SimpleImputer(fill_value=-1, strategy='constant')",0.25,0.18594639679820196,0.11306398898031252,0.5507575757575758,Imputation
94,RandomForestClassifier(random_state=12),,0.25,,,,Imputation
95,LogisticRegression(random_state=12),SimpleImputer(),0.25,0.053319012185179496,0.028062559631988337,0.5393939393939394,Imputation
96,LogisticRegression(random_state=12),SimpleImputer(strategy='median'),0.25,0.057280930934628084,0.03044615149571881,0.5045454545454545,Imputation
97,LogisticRegression(random_state=12),"SimpleImputer(fill_value=0, strategy='constant')",0.25,0.07271527093171104,0.03886742398333541,0.5765151515151515,Imputation
98,LogisticRegression(random_state=12),"SimpleImputer(fill_value=-1, strategy='constant')",0.25,0.06800713142496981,0.036253876773587525,0.5590909090909091,Imputation
99,LogisticRegression(random_state=12),,0.25,,,,Imputation
100,MLPClassifier(random_state=12),SimpleImputer(),0.5,0.0353392513745233,0.018112892632778457,0.7295454545454546,Imputation
101,MLPClassifier(random_state=12),SimpleImputer(strategy='median'),0.5,0.033167430153937416,0.017031330622060442,0.6583333333333333,Imputation
