,f__activation,f__alpha,f__hidden_layer_sizes,f__learning_rate,f__max_iter,f__solver,prec,f1,recall
67,tanh,0.05,"(50, 50, 50)",adaptive,200,sgd,0.0,0.0,0.0
68,tanh,0.001,"(100,)",adaptive,200,adam,0.0,0.0,0.0
69,relu,0.0001,"(100,)",adaptive,200,sgd,0.0,0.0,0.0
70,relu,0.05,"(50, 50, 50)",adaptive,200,sgd,0.0,0.0,0.0
71,relu,0.001,"(100,)",adaptive,400,sgd,0.0,0.0,0.0
72,relu,0.001,"(50, 5)",constant,400,adam,0.2761904761904762,0.13535353535353534,0.09333333333333334
73,logistic,0.01,"(50, 5)",constant,200,adam,0.0,0.0,0.0
74,logistic,0.01,"(50, 5)",constant,200,lbfgs,0.0,0.0,0.0
75,tanh,0.01,"(50, 50, 50)",adaptive,200,adam,0.19523809523809524,0.06671122994652406,0.0419047619047619
76,logistic,0.0001,"(20, 40, 10)",adaptive,400,lbfgs,0.0,0.0,0.0
77,relu,0.001,"(100,)",constant,400,lbfgs,0.17319347319347317,0.15830095830095828,0.14857142857142858
78,logistic,0.001,"(50, 50, 50)",constant,400,sgd,0.0,0.0,0.0
79,relu,0.01,"(20, 40, 10)",constant,400,lbfgs,0.11857142857142858,0.12351073762838469,0.14857142857142855
80,relu,0.001,"(50, 100, 50)",adaptive,200,sgd,0.0,0.0,0.0
81,logistic,0.0001,"(50, 50, 50)",adaptive,400,lbfgs,0.0,0.0,0.0
82,relu,0.0001,"(50, 5)",adaptive,400,adam,0.39761904761904765,0.18149920255183413,0.12095238095238095
83,relu,0.001,"(50, 5)",constant,200,lbfgs,0.14989684228814665,0.15747937345033533,0.17619047619047618
84,tanh,0.05,"(50, 100, 50)",constant,400,sgd,0.0,0.0,0.0
85,relu,0.0001,"(50, 50, 50)",adaptive,200,adam,0.5416666666666667,0.16800466639745143,0.10857142857142857
86,relu,0.0001,"(20, 40, 10)",adaptive,200,adam,0.3396031746031746,0.21666088805676909,0.1619047619047619
87,tanh,0.0001,"(20, 40, 10)",adaptive,200,adam,0.09707070707070707,0.08762703962703962,0.0819047619047619
88,tanh,0.01,"(20, 40, 10)",adaptive,200,sgd,0.0,0.0,0.0
89,tanh,0.01,"(50, 100, 50)",constant,400,adam,0.09,0.04327485380116959,0.02857142857142857
90,relu,0.0001,"(50, 5)",constant,200,lbfgs,0.1461244019138756,0.14929411764705883,0.16285714285714287
91,relu,0.001,"(50, 5)",constant,200,sgd,0.0,0.0,0.0
92,relu,0.01,"(100,)",constant,200,adam,0.0,0.0,0.0
93,relu,0.05,"(50, 50, 50)",adaptive,400,lbfgs,0.18961548255665903,0.18802576733611215,0.1895238095238095
94,logistic,0.001,"(50, 100, 50)",adaptive,400,adam,0.0,0.0,0.0
95,tanh,0.05,"(50, 50, 50)",adaptive,200,lbfgs,0.186510989010989,0.19355425124317277,0.21714285714285717
96,relu,0.01,"(50, 100, 50)",adaptive,200,sgd,0.0,0.0,0.0
97,logistic,0.01,"(100,)",constant,400,lbfgs,0.0,0.0,0.0
98,logistic,0.01,"(50, 100, 50)",constant,400,sgd,0.0,0.0,0.0
99,relu,0.001,"(50, 100, 50)",constant,400,sgd,0.0,0.0,0.0
