,f__bootstrap,f__class_weight,f__criterion,f__max_depth,f__max_features,f__min_samples_leaf,f__min_samples_split,f__n_estimators,prec,f1,recall
61,True,balanced_subsample,entropy,,auto,4,2,10,0.6664955022340422,0.3107377103669535,0.20504107542942496
62,False,,entropy,,sqrt,1,10,10,0.8517847012322715,0.28261361707217325,0.17023898431665424
63,True,balanced,gini,10.0,auto,2,10,10,0.31904161975098483,0.342802742574166,0.37333831217326363
64,False,balanced_subsample,entropy,50.0,sqrt,1,10,200,0.8003450096813941,0.31057279009116867,0.19342793129200897
65,True,balanced,entropy,10.0,sqrt,2,2,50,0.3808918501304703,0.37199820042949805,0.37701643017176995
66,True,,gini,10.0,sqrt,1,10,50,0.9751879699248122,0.2597099291376895,0.1508775205377147
67,False,,gini,10.0,auto,2,2,50,0.9559210526315789,0.2706127169958276,0.15860716952949963
68,True,,gini,50.0,sqrt,1,2,50,0.947680754917597,0.26756458725540827,0.1566654219566841
69,True,balanced_subsample,gini,,sqrt,1,2,100,0.9305677655677655,0.2783685576566556,0.16443241224794622
70,True,balanced,entropy,,auto,2,10,100,0.8630738826391001,0.2776013277539418,0.16637415982076176
71,True,balanced,gini,,auto,2,2,200,0.9011827388297977,0.2742151407900422,0.16250933532486928
72,True,balanced_subsample,gini,50.0,auto,2,10,100,0.7790352113134151,0.29537426183490484,0.18377520537714712
73,False,,gini,10.0,auto,1,10,50,0.9533625730994153,0.261840479634958,0.1528005974607916
74,False,balanced,entropy,10.0,sqrt,2,10,10,0.23430896371036955,0.31242078255904243,0.4719193427931292
75,True,balanced,gini,10.0,auto,1,2,200,0.4073520538355191,0.3633021931136482,0.3423450336071695
76,True,balanced_subsample,entropy,,sqrt,2,10,200,0.8629553429027114,0.29118247701597244,0.1760642270351008
77,True,balanced,gini,,auto,2,10,50,0.7840953164482578,0.3111780937494394,0.19535100821508586
78,True,,gini,,sqrt,2,10,100,0.9516959064327484,0.2615725770372549,0.15281926811053023
79,False,balanced,entropy,50.0,auto,4,2,50,0.7120742731087558,0.3167888414274076,0.20504107542942496
80,True,balanced_subsample,entropy,10.0,sqrt,2,10,100,0.38055985908513607,0.37491589152388116,0.3809932785660941
81,False,balanced,gini,10.0,sqrt,2,2,200,0.31303056632349746,0.3587225686990301,0.4313480209111278
82,True,balanced,entropy,10.0,sqrt,2,10,10,0.2767355066909956,0.3214463817553276,0.3945668409260642
83,True,,entropy,10.0,auto,2,10,50,0.9628070175438597,0.2593396115191166,0.1508775205377147
84,True,balanced,gini,,auto,4,2,50,0.7612837649679755,0.3024638490643668,0.1895631067961165
85,True,balanced,gini,10.0,auto,2,10,100,0.3987475912904962,0.35856490752765363,0.3384802091112771
86,True,,entropy,10.0,sqrt,2,10,10,0.9675324675324676,0.2598792264242088,0.1508775205377147
87,True,,gini,,sqrt,4,2,50,0.9516959064327484,0.258871291959888,0.1508775205377147
88,False,balanced_subsample,entropy,50.0,sqrt,1,2,50,0.9149407114624506,0.2937738227660363,0.17602688573562358
