,f__activation,f__alpha,f__hidden_layer_sizes,f__learning_rate,f__max_iter,f__solver,prec,f1,recall
64,logistic,0.01,"(50, 5)",constant,200,adam,0.0,0.0,0.0
65,tanh,0.0001,"(20, 40, 10)",constant,200,lbfgs,0.3660520414916425,0.3408664425928724,0.3212285287528006
66,relu,0.05,"(20, 40, 10)",constant,200,sgd,0.0,0.0,0.0
67,relu,0.0001,"(100,)",adaptive,200,sgd,0.0,0.0,0.0
68,tanh,0.0001,"(20, 40, 10)",adaptive,200,adam,0.45008451566443525,0.2948055532819178,0.22443988050784167
69,logistic,0.001,"(100,)",constant,400,sgd,0.0,0.0,0.0
70,logistic,0.05,"(50, 5)",adaptive,400,adam,0.0,0.0,0.0
71,tanh,0.001,"(100,)",constant,200,sgd,0.0,0.0,0.0
72,tanh,0.01,"(20, 40, 10)",adaptive,400,lbfgs,0.30945285011192153,0.3116548586859353,0.31529126213592235
73,relu,0.001,"(50, 100, 50)",adaptive,400,adam,0.387934954364151,0.33356724851847164,0.29971994025392085
74,tanh,0.05,"(50, 100, 50)",constant,400,adam,0.5463654863654863,0.28909251848888334,0.19923450336071696
75,relu,0.01,"(50, 50, 50)",adaptive,400,sgd,0.0,0.0,0.0
76,tanh,0.01,"(100,)",constant,400,adam,0.6418831168831167,0.2833769192171715,0.18571695294996265
77,logistic,0.01,"(100,)",constant,400,adam,0.9523809523809523,0.2595741158216153,0.1508775205377147
78,relu,0.01,"(100,)",constant,200,lbfgs,0.37027358142848005,0.35497339705187,0.34238237490664675
79,logistic,0.05,"(50, 50, 50)",adaptive,200,lbfgs,0.0,0.0,0.0
80,logistic,0.05,"(20, 40, 10)",adaptive,200,adam,0.0,0.0,0.0
81,logistic,0.01,"(50, 5)",constant,400,lbfgs,0.3566168335549798,0.34240075347687976,0.33455937266616875
82,tanh,0.05,"(50, 5)",adaptive,200,adam,0.5912389618989333,0.2957500578916415,0.19921583271097834
83,tanh,0.05,"(50, 50, 50)",constant,200,adam,0.5509057971014493,0.283080019889778,0.19344660194174756
84,logistic,0.0001,"(50, 5)",constant,200,lbfgs,0.3105937960149618,0.30659316038714135,0.31366691560866317
85,tanh,0.001,"(20, 40, 10)",constant,200,sgd,0.0,0.0,0.0
86,logistic,0.05,"(50, 50, 50)",adaptive,400,lbfgs,0.0,0.0,0.0
87,relu,0.001,"(100,)",constant,200,lbfgs,0.34479535788202753,0.343608591341117,0.34430545182972366
88,logistic,0.05,"(20, 40, 10)",adaptive,400,adam,0.0,0.0,0.0
89,tanh,0.05,"(50, 50, 50)",adaptive,400,sgd,0.5818181818181818,0.14457281414919412,0.08325242718446602
90,logistic,0.001,"(50, 50, 50)",adaptive,200,lbfgs,0.0,0.0,0.0
91,logistic,0.01,"(50, 100, 50)",adaptive,200,lbfgs,0.0,0.0,0.0
92,relu,0.0001,"(20, 40, 10)",adaptive,400,lbfgs,0.321005329526612,0.32254545712858534,0.32871545929798357
93,relu,0.001,"(20, 40, 10)",constant,200,lbfgs,0.35744207379950527,0.32944335881644204,0.3131254667662435
94,logistic,0.0001,"(50, 100, 50)",constant,400,lbfgs,0.0,0.0,0.0
95,relu,0.01,"(50, 5)",adaptive,200,lbfgs,0.32625699707211114,0.32897956025320013,0.33259895444361465
96,relu,0.01,"(100,)",constant,200,sgd,0.0,0.0,0.0
97,relu,0.01,"(50, 5)",constant,400,adam,0.4460424738257432,0.3509096223802106,0.29393203883495145
98,tanh,0.01,"(100,)",adaptive,200,sgd,0.0,0.0,0.0
99,relu,0.01,"(50, 100, 50)",adaptive,200,adam,0.36743674600817455,0.3247034292871303,0.29787154592979836
