,f__bootstrap,f__class_weight,f__criterion,f__max_depth,f__max_features,f__min_samples_leaf,f__min_samples_split,f__n_estimators,prec,f1,recall
77,True,balanced,gini,50.0,auto,2,2,200,0.0,0.0,0.0
78,True,,gini,50.0,sqrt,1,2,100,0.0,0.0,0.0
79,True,balanced_subsample,gini,50.0,sqrt,2,2,50,0.0,0.0,0.0
80,True,balanced,gini,,auto,2,10,100,0.0,0.0,0.0
81,True,balanced,gini,,sqrt,2,2,10,0.1,0.02222222222222222,0.0125
82,True,balanced,entropy,10.0,auto,4,2,10,0.06666666666666667,0.03636363636363636,0.025
83,True,balanced,entropy,,sqrt,4,10,50,0.0,0.0,0.0
84,True,balanced_subsample,gini,,auto,4,10,100,0.0,0.0,0.0
85,True,balanced,entropy,50.0,auto,2,10,200,0.0,0.0,0.0
86,True,balanced,entropy,,auto,1,2,100,0.0,0.0,0.0
87,True,,gini,50.0,sqrt,4,2,100,0.0,0.0,0.0
88,True,balanced_subsample,gini,50.0,auto,4,10,10,0.2571428571428571,0.05831202046035806,0.0375
89,True,balanced_subsample,entropy,,sqrt,2,2,200,0.0,0.0,0.0
90,True,balanced,gini,50.0,auto,4,2,10,0.06666666666666667,0.03636363636363636,0.025
91,True,,entropy,50.0,sqrt,4,2,100,0.0,0.0,0.0
92,True,balanced_subsample,gini,,auto,2,10,50,0.0,0.0,0.0
93,True,balanced_subsample,gini,10.0,sqrt,1,10,50,0.0,0.0,0.0
94,True,balanced_subsample,entropy,50.0,sqrt,4,10,50,0.0,0.0,0.0
95,True,balanced_subsample,entropy,50.0,auto,4,2,10,0.2,0.06222222222222222,0.0375
96,True,balanced,entropy,,sqrt,1,2,200,0.0,0.0,0.0
97,True,balanced_subsample,entropy,10.0,auto,1,10,10,0.08,0.03809523809523809,0.025
98,True,balanced,gini,,auto,2,2,50,0.0,0.0,0.0
99,False,balanced,entropy,,sqrt,2,2,200,0.3,0.08668730650154799,0.05083333333333333
100,True,balanced_subsample,gini,,auto,2,2,10,0.3,0.0457516339869281,0.025
101,True,,entropy,50.0,auto,2,2,50,0.0,0.0,0.0
102,True,,entropy,50.0,sqrt,4,2,200,0.0,0.0,0.0
103,True,,gini,50.0,auto,4,2,100,0.0,0.0,0.0
104,True,balanced,entropy,50.0,sqrt,2,2,10,0.1,0.02222222222222222,0.0125
105,True,,gini,,auto,1,10,200,0.0,0.0,0.0
106,True,,entropy,,sqrt,1,10,10,0.0,0.0,0.0
107,False,,entropy,,auto,1,10,200,0.0,0.0,0.0
108,True,,gini,,auto,4,10,200,0.0,0.0,0.0
109,True,balanced,gini,50.0,sqrt,2,10,100,0.0,0.0,0.0
110,True,,entropy,50.0,auto,1,10,50,0.0,0.0,0.0
111,True,balanced_subsample,entropy,10.0,sqrt,4,2,100,0.0,0.0,0.0
112,True,,gini,10.0,auto,2,2,200,0.0,0.0,0.0
113,True,,gini,,sqrt,4,10,100,0.0,0.0,0.0
114,True,,entropy,50.0,sqrt,2,2,200,0.0,0.0,0.0
115,True,,entropy,,sqrt,2,10,100,0.0,0.0,0.0
116,True,balanced,entropy,,auto,1,10,100,0.0,0.0,0.0
117,True,balanced,gini,,auto,4,10,10,0.075,0.05,0.0375
118,True,,entropy,50.0,sqrt,2,2,10,0.0,0.0,0.0
119,True,balanced_subsample,entropy,50.0,sqrt,2,2,100,0.0,0.0,0.0
120,True,,entropy,10.0,sqrt,2,2,200,0.0,0.0,0.0
121,True,balanced_subsample,gini,,auto,1,10,10,0.3,0.06352941176470588,0.0375
122,True,balanced,gini,10.0,auto,1,2,50,0.0,0.0,0.0
123,True,balanced,gini,10.0,auto,1,2,100,0.0,0.0,0.0
124,False,,entropy,50.0,auto,2,2,50,0.0,0.0,0.0
125,True,,gini,10.0,auto,2,10,100,0.0,0.0,0.0
126,False,,entropy,,sqrt,2,10,10,0.0,0.0,0.0
127,True,balanced_subsample,entropy,10.0,sqrt,2,10,100,0.0,0.0,0.0
128,True,balanced_subsample,entropy,50.0,auto,4,2,10,0.2,0.06222222222222222,0.0375
129,False,,gini,10.0,sqrt,1,2,10,0.0,0.0,0.0
