,Unnamed: 0,f__bootstrap,f__class_weight,f__criterion,f__max_depth,f__max_features,f__min_samples_leaf,f__min_samples_split,f__n_estimators,prec,f1,recall
58,58,True,balanced,entropy,,auto,4,2,10,0.5009989177489177,0.2288953213729333,0.1491089108910891
59,59,False,,entropy,,sqrt,2,2,50,0.9551515151515152,0.25659944632859816,0.1491089108910891
60,60,True,,gini,10.0,auto,1,2,100,1.0,0.2577215044610449,0.1491089108910891
61,61,True,,gini,10.0,sqrt,4,10,100,0.9496031746031748,0.2551728419417362,0.1491089108910891
62,62,True,balanced,gini,50.0,auto,2,10,100,0.9241161616161616,0.2551573256659924,0.1491089108910891
63,63,False,balanced_subsample,gini,,auto,4,10,100,0.4917574472187409,0.23162710958283145,0.1530891089108911
64,64,True,balanced_subsample,entropy,,sqrt,4,10,100,0.8317251461988304,0.25158906454762936,0.1491089108910891
65,65,True,,gini,10.0,sqrt,4,10,10,0.8735552115583076,0.25288118384971026,0.1491089108910891
66,66,True,balanced,gini,,sqrt,4,2,50,0.8279156223893066,0.2514691245176444,0.1491089108910891
67,67,False,balanced,entropy,,auto,4,10,200,0.4857795233657303,0.22965085337367944,0.1511089108910891
68,68,False,,gini,50.0,auto,2,10,200,1.0,0.2577215044610449,0.1491089108910891
69,69,False,,entropy,10.0,auto,4,2,200,1.0,0.2577215044610449,0.1491089108910891
70,70,False,balanced,entropy,50.0,auto,2,10,100,0.5376382063882064,0.2366574420028709,0.1530891089108911
71,71,True,balanced_subsample,gini,50.0,auto,1,2,10,0.9443181818181818,0.2562096412311469,0.1491089108910891
72,72,False,balanced_subsample,gini,10.0,sqrt,2,10,10,0.11634330023218516,0.1540154856125842,0.2307326732673267
73,73,True,,entropy,50.0,sqrt,2,2,50,0.9655122655122657,0.2562655248685654,0.1491089108910891
74,74,False,,gini,10.0,sqrt,2,10,50,1.0,0.2577215044610449,0.1491089108910891
75,75,True,,gini,10.0,sqrt,1,2,200,1.0,0.2577215044610449,0.1491089108910891
76,76,True,,gini,,sqrt,4,2,100,0.9496031746031748,0.2551728419417362,0.1491089108910891
77,77,True,balanced,gini,10.0,sqrt,2,2,10,0.2186682627601169,0.19826645903726195,0.18685148514851485
78,78,False,balanced,gini,,sqrt,1,2,10,0.7888846153846154,0.24832028565185466,0.1491089108910891
79,79,True,balanced,gini,,auto,2,10,200,0.9448309178743962,0.2553181336422357,0.1491089108910891
80,80,False,balanced,gini,50.0,auto,2,2,50,0.6693657219973009,0.2428960232560191,0.1491089108910891
81,81,True,balanced,gini,,auto,4,10,10,0.4574314574314574,0.2293114627364431,0.1531089108910891
82,82,True,,entropy,10.0,sqrt,4,10,100,0.9496031746031748,0.2551728419417362,0.1491089108910891
83,83,True,balanced_subsample,gini,50.0,sqrt,4,10,100,0.8596872082166199,0.2527498239580775,0.1491089108910891
84,84,True,balanced,gini,,auto,4,2,50,0.8279156223893066,0.2514691245176444,0.1491089108910891
85,85,True,balanced_subsample,gini,10.0,sqrt,1,2,200,0.6907077179113792,0.24492921817009214,0.1491089108910891
86,86,False,balanced,entropy,,sqrt,4,10,200,0.4857795233657303,0.22965085337367944,0.1511089108910891
87,87,False,,entropy,10.0,sqrt,1,10,200,1.0,0.2577215044610449,0.1491089108910891
88,88,False,,gini,10.0,sqrt,1,2,100,1.0,0.26082661236354443,0.1511089108910891
89,89,False,balanced,gini,10.0,auto,1,2,100,0.14883414387901758,0.1678695894069211,0.1968910891089109
90,90,True,balanced_subsample,entropy,50.0,auto,4,2,50,0.8279156223893066,0.2514691245176444,0.1491089108910891
91,91,True,balanced,gini,,auto,1,2,50,0.9818181818181818,0.2573997541392946,0.1491089108910891
92,92,False,balanced,entropy,10.0,sqrt,4,10,200,0.12129415238109265,0.15427933147295506,0.2247722772277228
93,93,True,,gini,10.0,sqrt,1,2,10,0.94,0.26126776304555155,0.1531089108910891
94,94,True,,gini,50.0,auto,2,2,200,0.9888888888888888,0.25722896498545456,0.1491089108910891
95,95,False,balanced_subsample,gini,10.0,auto,1,2,10,0.10962438209734612,0.1462855143295533,0.22469306930693075
96,96,True,balanced_subsample,gini,10.0,auto,4,2,100,0.6156217948717948,0.24699834417174585,0.1550891089108911
97,97,True,balanced_subsample,entropy,50.0,auto,1,2,100,1.0,0.2577215044610449,0.1491089108910891
98,98,True,balanced,gini,50.0,sqrt,4,2,10,0.5563392841830873,0.2370597509351473,0.1531089108910891
99,99,False,,gini,,auto,2,10,10,0.9857142857142858,0.2573178404337199,0.1491089108910891
